CodeReference;CodeSociete;Annee;Mois;CodeApporteur;CodeEtablissement;CodePole;CodeGenre;ValeurCA
BUD;PRO;2008;1;AAS ;EPBA ;PDVP;G000;25000
BUD;PRO;2008;1;AAS ;EPBA ;PEXP;GIFS;250000
BUD;PRO;2008;1;AAS ;EPBA ;PPRO;G000;8333
BUD;PRO;2008;1;ABD ;EPIN ;PDVP;G000;10000
BUD;PRO;2008;1;ABD ;EPIN ;PEXP;GIFD;1250
BUD;PRO;2008;1;ABD ;EPIN ;PEXP;GIFS;150000
BUD;PRO;2008;1;ABD ;EPIN ;PFOR;G000;417
BUD;PRO;2008;1;ABD ;EPIN ;PPRO;G000;5000
BUD;PRO;2008;1;ABF ;ELAN ;PDVP;G000;16667
BUD;PRO;2008;1;ABF ;ELAN ;PEXP;GIFD;833
BUD;PRO;2008;1;ABF ;ELAN ;PEXP;GIFS;145833
BUD;PRO;2008;1;ABF ;ELAN ;PFOR;G000;833
BUD;PRO;2008;1;ABF ;ELAN ;PPRO;G000;2500
BUD;PRO;2008;1;ACC ;EAIX ;PDVP;G000;2064
BUD;PRO;2008;1;ACC ;EAIX ;PEXP;GIFD;153
BUD;PRO;2008;1;ACC ;EAIX ;PEXP;GIFS;15827
BUD;PRO;2008;1;ACC ;EAIX ;PFOR;G000;153
BUD;PRO;2008;1;ACC ;EAIX ;PPRO;G000;765
BUD;PRO;2008;1;ACC ;ESOP ;PDVP;G000;9186
BUD;PRO;2008;1;ACC ;ESOP ;PEXP;GIFD;680
BUD;PRO;2008;1;ACC ;ESOP ;PEXP;GIFS;70423
BUD;PRO;2008;1;ACC ;ESOP ;PFOR;G000;680
BUD;PRO;2008;1;ACC ;ESOP ;PPRO;G000;3402
BUD;PRO;2008;1;ACS ;ELIL ;PDVP;G000;3333
BUD;PRO;2008;1;ACS ;ELIL ;PEXP;GIFD;7250
BUD;PRO;2008;1;ACS ;ELIL ;PEXP;GIFS;112333
BUD;PRO;2008;1;ACS ;ELIL ;PFOR;G000;833
BUD;PRO;2008;1;ACS ;ELIL ;PPRO;G000;9583
BUD;PRO;2008;1;AE B;ECAE ;PDVP;G000;542
BUD;PRO;2008;1;AE B;ECAE ;PEXP;GIFS;18958
BUD;PRO;2008;1;AE B;ECAE ;PPRO;G000;542
BUD;PRO;2008;1;AE B;ELHA ;PDVP;G000;3625
BUD;PRO;2008;1;AE B;ELHA ;PEXP;GIFS;126875
BUD;PRO;2008;1;AE B;ELHA ;PPRO;G000;3625
BUD;PRO;2008;1;AEB ;ENIO ;PDVP;G000;166667
BUD;PRO;2008;1;AEP ;EBDX ;PDVP;G000;5000
BUD;PRO;2008;1;AEP ;EBDX ;PEXP;GIFD;8333
BUD;PRO;2008;1;AEP ;EBDX ;PEXP;GIFS;141667
BUD;PRO;2008;1;AEP ;EBDX ;PFOR;G000;1667
BUD;PRO;2008;1;AEP ;EBDX ;PPRO;G000;1667
BUD;PRO;2008;1;AFGV;EAIX ;PDVP;G000;2753
BUD;PRO;2008;1;AFGV;EAIX ;PEXP;GIFD;306
BUD;PRO;2008;1;AFGV;EAIX ;PEXP;GIFS;2905
BUD;PRO;2008;1;AFGV;EAIX ;PFOR;G000;612
BUD;PRO;2008;1;AFGV;EAIX ;PPRO;G000;459
BUD;PRO;2008;1;AFGV;ESOP ;PDVP;G000;12248
BUD;PRO;2008;1;AFGV;ESOP ;PEXP;GIFD;1361
BUD;PRO;2008;1;AFGV;ESOP ;PEXP;GIFS;12928
BUD;PRO;2008;1;AFGV;ESOP ;PFOR;G000;2722
BUD;PRO;2008;1;AFGV;ESOP ;PPRO;G000;2041
BUD;PRO;2008;1;AGB ;ENIO ;PEXP;GIFD;41667
BUD;PRO;2008;1;AGB ;ENIO ;PEXP;GIFS;211250
BUD;PRO;2008;1;AGJ ;EPTE ;PDVP;G000;4167
BUD;PRO;2008;1;AGJ ;EPTE ;PEXP;GIFS;144167
BUD;PRO;2008;1;AGJ ;EPTE ;PPRO;G000;18333
BUD;PRO;2008;1;AIZ ;ETRS ;PDVP;G000;1167
BUD;PRO;2008;1;AIZ ;ETRS ;PEXP;GIFD;500
BUD;PRO;2008;1;AIZ ;ETRS ;PEXP;GIFS;30833
BUD;PRO;2008;1;AIZ ;ETRS ;PFOR;G000;167
BUD;PRO;2008;1;AIZ ;ETRS ;PPRO;G000;667
BUD;PRO;2008;1;AJA ;ETOU ;PDVP;G000;3333
BUD;PRO;2008;1;AJA ;ETOU ;PEXP;GIFD;9167
BUD;PRO;2008;1;AJA ;ETOU ;PEXP;GIFS;66667
BUD;PRO;2008;1;AJA ;ETOU ;PFOR;G000;1667
BUD;PRO;2008;1;AJA ;ETOU ;PPRO;G000;2500
BUD;PRO;2008;1;AJS ;ECAE ;PEXP;GIFS;4073
BUD;PRO;2008;1;AJS ;ELHA ;PEXP;GIFS;27260
BUD;PRO;2008;1;AJS ;EROU ;PDVP;G000;7500
BUD;PRO;2008;1;AJS ;EROU ;PEXP;GIFD;625
BUD;PRO;2008;1;AJS ;EROU ;PEXP;GIFS;70083
BUD;PRO;2008;1;AJS ;EROU ;PFOR;G000;833
BUD;PRO;2008;1;AJS ;EROU ;PPRO;G000;5333
BUD;PRO;2008;1;AMB ;E001 ;PDVP;G000;11667
